date,rank,artist,title,streams,streams7,total_streams,url
2026-05-22,1,Olivia Rodrigo,the cure,7215960,7215960,7215960,https://kworb.net/spotify/track/4EoJ151oQ5jY48z4RhSE96.html
2026-05-22,2,Michael Jackson,Billie Jean,6116960,41467196,707627015,https://kworb.net/spotify/track/7J1uxwnxfQLu4APicE5Rnj.html
2026-05-22,3,Justin Bieber,Beauty And A Beat,6009112,40112368,351192322,https://kworb.net/spotify/track/6QFCMUUq1T2Vf5sFUXcuQ7.html
2026-05-22,4,Drake,Janice STFU,5424503,35045363,44634530,https://kworb.net/spotify/track/514joG57v4yKTsfQmz7stz.html
2026-05-22,5,BTS,SWIM,5119464,35967526,456004499,https://kworb.net/spotify/track/68lbSrXDORS51pmyjZv712.html
2026-05-22,6,Dominic Fike,Babydoll,4757629,32755216,605348085,https://kworb.net/spotify/track/7yNf9YjeO5JXUE3JEBgnYc.html
2026-05-22,7,Michael Jackson,Beat It,4725984,31890194,146707227,https://kworb.net/spotify/track/3BovdzfaX4jb5KFQwoPfAw.html
2026-05-22,8,Olivia Rodrigo,drop dead,4059226,20625795,161191025,https://kworb.net/spotify/track/7Hc6qcJG4NtyZgbNvQyd8U.html
2026-05-22,9,Drake,National Treasures,3727968,30049390,39397587,https://kworb.net/spotify/track/393OFJFZKIIv66JmJcNm9D.html
2026-05-22,10,Malcolm Todd,Earrings,3445275,22441833,131323384,https://kworb.net/spotify/track/0eAuGrXyGFYwur9ARUe7LJ.html
2026-05-22,11,Michael Jackson,Human Nature,3344950,22622641,75426600,https://kworb.net/spotify/track/4cgjA7B4fJBHyB9Ya2bu0t.html
2026-05-22,12,Katy Perry,The One That Got Away,3318222,22645115,148026048,https://kworb.net/spotify/track/6hkOqJ5mE093AQf2lbZnsG.html
2026-05-22,13,Michael Jackson,Don't Stop 'Til You Get Enough - Single Version,3310640,22492561,84494452,https://kworb.net/spotify/track/46eu3SBuFCXWsPT39Yg3tJ.html
2026-05-22,14,sombr,back to friends,3307843,22676503,1818545178,https://kworb.net/spotify/track/7qjZnBKE73H4Oxkopwulqe.html
2026-05-22,15,Drake,Whisper My Name,3219057,26847807,37574654,https://kworb.net/spotify/track/7KGHenqXZofXNm5MKDbT3J.html
2026-05-22,16,Drake,Ran To Atlanta,3205417,28455308,39351767,https://kworb.net/spotify/track/3DK90400cDlV5WUJPraMph.html
2026-05-22,17,Olivia Dean,Man I Need,3185677,21400162,1111642267,https://kworb.net/spotify/track/1qbmS6ep2hbBRaEZFpn7BX.html
2026-05-22,18,Ella Langley,Choosin' Texas,3163243,21237971,313229995,https://kworb.net/spotify/track/65DbTqJKhbwqYbZ1Okr0rc.html
2026-05-22,19,Tame Impala,Dracula - JENNIE Remix,3140754,20915363,262711347,https://kworb.net/spotify/track/5yvVYFDUpbnjcnRBgjwTzM.html
2026-05-22,20,Djo,End of Beginning,3127141,21201826,2543420706,https://kworb.net/spotify/track/3qhlB30KknSejmIvZZLjOD.html
2026-05-22,21,Drake,Shabang,3066746,24622833,33137806,https://kworb.net/spotify/track/6vjpQIdABqntoe3zPazPec.html
2026-05-22,22,Taylor Swift,The Fate of Ophelia,2981959,20312843,1362851942,https://kworb.net/spotify/track/53iuhJlwXhSER5J2IYYv1W.html
2026-05-22,23,Temper City,Self Aware,2949198,18531216,95988095,https://kworb.net/spotify/track/4qW3BbQAwZsrnu8a3ZRdyT.html
2026-05-22,24,Bruno Mars,Risk It All,2928023,20212260,344864646,https://kworb.net/spotify/track/5y2ijHECwFYWqcAHKTZgzD.html
2026-05-22,25,Michael Jackson,Chicago,2926962,16791478,51489258,https://kworb.net/spotify/track/5BKKy9fIJL5uM9fz1SnqyP.html
2026-05-22,26,Bad Bunny,DtMF,2909624,18844019,1860060489,https://kworb.net/spotify/track/3sK8wGT43QFpWrvNQsrQya.html
2026-05-22,27,Dave,Raindance,2908341,19208242,520052897,https://kworb.net/spotify/track/3oTuTpF1F3A7rEC6RKsMRz.html
2026-05-22,28,Alex Warren,Ordinary,2875898,19276721,1883232706,https://kworb.net/spotify/track/2RkZ5LkEzeHGRsmDqKwmaJ.html
2026-05-22,29,The Goo Goo Dolls,Iris,2875815,19121294,2024557760,https://kworb.net/spotify/track/6Qyc6fS4DsZjB2mRW9DsQs.html
2026-05-22,30,Ravyn Lenae,Love Me Not,2870922,18569737,1087466282,https://kworb.net/spotify/track/4WFgvKVfEhb3IUAFGrutTR.html
2026-05-22,31,PinkPantheress,Stateside + Zara Larsson,2865475,19562173,469431966,https://kworb.net/spotify/track/1DwscornXpj8fmOmYVlqZt.html
2026-05-22,32,Zara Larsson,Lush Life,2864834,17974486,1086546077,https://kworb.net/spotify/track/1rIKgCH4H52lrvDcz50hS8.html
2026-05-22,33,Justin Bieber,DAISIES,2665615,18373196,782303891,https://kworb.net/spotify/track/5BZsQlgw21vDOAjoqkNgKb.html
2026-05-22,34,Lady Gaga,Die With A Smile,2645526,18087092,3647601374,https://kworb.net/spotify/track/2plbrEY59IikOBgBGLjaoe.html
2026-05-22,35,Olivia Dean,So Easy (To Fall In Love),2625595,18501403,805758151,https://kworb.net/spotify/track/6sGIMrtIzQjdzNndVxe397.html
2026-05-22,36,Jennifer Lopez,On The Floor,2571734,10762509,10762509,https://kworb.net/spotify/track/3C0nOe05EIt1390bVABLyN.html
2026-05-22,37,Michael Jackson,Smooth Criminal - 2012 Remaster,2549548,17398448,71919202,https://kworb.net/spotify/track/5T7ywazdGIydr6JCW6t02j.html
2026-05-22,38,RAYE,WHERE IS MY HUSBAND!,2544159,16552172,796141971,https://kworb.net/spotify/track/55lijDD6OAjLFFUHU9tcDm.html
2026-05-22,39,Bad Bunny,BAILE INoLVIDABLE,2469038,15470443,1514415542,https://kworb.net/spotify/track/2lTm559tuIvatlT1u0JYG2.html
2026-05-22,40,Drake,2 Hard 4 The Radio,2430876,21419346,28768045,https://kworb.net/spotify/track/7COiiObIVJIdBcW3J43Iy2.html
2026-05-22,41,The Killers,Mr. Brightside,2417656,16049974,1750976127,https://kworb.net/spotify/track/003vvx7Niy0yvhvHt4a68B.html
2026-05-22,42,The Neighbourhood,Sweater Weather,2404412,16834057,3995778605,https://kworb.net/spotify/track/2QjOHCTQ1Jl3zawyYOpxh6.html
2026-05-22,43,Billie Eilish,BIRDS OF A FEATHER,2372925,16812999,3686699851,https://kworb.net/spotify/track/6dOtVTDdiauQNBQEDOtlAB.html
2026-05-22,44,HUNTR/X,Golden,2353191,16140651,1690529726,https://kworb.net/spotify/track/1CPZ5BxNNd0n0nF4Orb9JS.html
2026-05-22,45,Dominic Fike,White Keys,2335173,15472530,210926548,https://kworb.net/spotify/track/5ViLKrbyL3HD6wsq3AB9eI.html
2026-05-22,46,Bruno Mars,Locked out of Heaven,2293557,15285955,2140724480,https://kworb.net/spotify/track/5g7sDjBhZ4I3gcFIpkrLuI.html
2026-05-22,47,Drake,Plot Twist,2265160,19688261,26641895,https://kworb.net/spotify/track/3cLCA9LSb6UiOeNvTZoaav.html
2026-05-22,48,Drake,One Dance,2242535,15184955,3266858816,https://kworb.net/spotify/track/1zi7xx7UVEFkmKfv06H8x0.html
2026-05-22,49,Bad Bunny,NUEVAYoL,2240935,13924920,1271251008,https://kworb.net/spotify/track/5TFD2bmFKGhoCRbX61nXY5.html
2026-05-22,50,Bruno Mars,I Just Might,2220717,14682797,411541882,https://kworb.net/spotify/track/6f68Ac5tt5BQOpwr0BV9oN.html
2026-05-22,51,Michael Jackson,Bad - 2012 Remaster,2219036,14298615,52056079,https://kworb.net/spotify/track/2gSNBigeWMVtY3QBIvPAEc.html
2026-05-22,52,Vance Joy,Riptide,2208980,14623859,2779171719,https://kworb.net/spotify/track/7yq4Qj7cqayVTp3FF9CWbm.html
2026-05-22,53,Tame Impala,Dracula,2176066,14653592,352795286,https://kworb.net/spotify/track/1NXbNEAcPvY5G1xvfN57aA.html
2026-05-22,54,Gigi Perez,Sailor Song,2167821,15089142,1864602459,https://kworb.net/spotify/track/21IYMdzTrzSe191Cy5eMap.html
2026-05-22,55,Michael Jackson,Dirty Diana - 2012 Remaster,2156322,14619158,53259930,https://kworb.net/spotify/track/0AcgKF7kbSoCkh3n7vlHwK.html
2026-05-22,56,Harry Styles,Sign of the Times,2151013,13856294,475798650,https://kworb.net/spotify/track/5Ohxk2dO5COHF1krpoPigN.html
2026-05-22,57,El Bogueto,Cuando No Era Cantante - Remix,2149791,14191211,328964465,https://kworb.net/spotify/track/2pbSCYzxrG0wa6qcj8IyiE.html
2026-05-22,58,The Police,Every Breath You Take,2096184,14382992,2462640816,https://kworb.net/spotify/track/1JSTJqkT5qHq8MDJnJbRE1.html
2026-05-22,59,Radiohead,Creep,2092789,13853158,1470792802,https://kworb.net/spotify/track/70LcF31zb1H0PyJoS1Sx1r.html
2026-05-22,60,Bella Kay,iloveitiloveitiloveit,2083973,14329720,246634620,https://kworb.net/spotify/track/5IMpnpD0tQVcqWlVIgtAtV.html
2026-05-22,61,Sabrina Carpenter,Manchild,2073297,13877335,945968158,https://kworb.net/spotify/track/2BwO5K8Q7EPAJSGze3AAh9.html
2026-05-22,62,Sean Paul,(When You Gonna) Give It Up to Me,2050479,12662912,246322627,https://kworb.net/spotify/track/5nEdwtSv0qqeE0l4o1lR4q.html
2026-05-22,63,BTS,Body to Body,2014868,13962420,219189235,https://kworb.net/spotify/track/2rKkfc4VZ74FQDc1FF1Zo6.html
2026-05-22,64,Fleetwood Mac,Dreams - 2001 Remaster,2012444,13395982,78562121,https://kworb.net/spotify/track/53qkszfgztIvkFyF31GfdQ.html
2026-05-22,65,sombr,Homewrecker,2009214,13069783,242846645,https://kworb.net/spotify/track/7tICCrK3CcyRFKza7yrR0z.html
2026-05-22,66,Gracie Abrams,Hit the Wall,2008916,12658034,15896608,https://kworb.net/spotify/track/1U90UBmMrQTx9GNweUA4LZ.html
2026-05-22,67,Drake,Dust,2007975,19783475,30704059,https://kworb.net/spotify/track/4eE16RJFDKf2WxBTqqfylu.html
2026-05-22,68,Justin Bieber,Baby,2005253,13638552,121617981,https://kworb.net/spotify/track/6epn3r7S14KUqlReYr77hA.html
2026-05-22,69,Justin Bieber,Confident - Single Version,1988171,13692166,318519217,https://kworb.net/spotify/track/6czM6UMQD9qE5GAUp68oud.html
2026-05-22,70,BTS,2.0,1972962,13708117,188678462,https://kworb.net/spotify/track/3bmpXHVie1GTy37OkXJ7Vc.html
2026-05-22,71,Sam Fender,Rein Me In,1968876,12387684,154642821,https://kworb.net/spotify/track/0MUXBhPUDF8or0kfQ0EHwV.html
2026-05-22,72,Neton Vega,Nalguita y Teta,1967760,13019403,55664467,https://kworb.net/spotify/track/6SuIUd8Wl5tZcyMFAV0EZJ.html
2026-05-22,73,Harry Styles,As It Was,1952941,12807942,4310443762,https://kworb.net/spotify/track/4Dvkj6JhhA12EX05fT7y2e.html
2026-05-22,74,Drake,What Did I Miss?,1950698,18151595,77513764,https://kworb.net/spotify/track/57GsLpRtEtrzcPGPop20rS.html
2026-05-22,75,BTS,Hooligan,1933901,13354464,192893529,https://kworb.net/spotify/track/20dAJsyno9ZoBLJtqgQnUI.html
2026-05-22,76,Michael Jackson,They Don't Care About Us,1916537,13255278,57269278,https://kworb.net/spotify/track/3wuCCNCnBhJlwkIJTBZFiv.html
2026-05-22,77,Harry Styles,American Girls,1891925,11858051,184962701,https://kworb.net/spotify/track/7gtG45ieyQzKtNKobfLd49.html
2026-05-22,78,Michael Jackson,Thriller,1880711,13218922,107166971,https://kworb.net/spotify/track/2LlQb7Uoj1kKyGhlkBf9aC.html
2026-05-22,79,Arctic Monkeys,I Wanna Be Yours,1867714,12953068,3256293119,https://kworb.net/spotify/track/5XeFesFbtLpXzIVDNQP22n.html
2026-05-22,80,Charli xcx,SS26,1866509,1866509,1866509,https://kworb.net/spotify/track/3d5NbAerF2MMHw9tdIxiFH.html
2026-05-22,81,Sabrina Carpenter,Espresso,1857586,12615878,2968046799,https://kworb.net/spotify/track/2HRqTpkrJO5ggZyyK6NPWz.html
2026-05-22,82,The Weeknd,Starboy,1857271,12963025,3741681274,https://kworb.net/spotify/track/7MXVkk9YMctZqd1Srtv4MB.html
2026-05-22,83,Don Omar,Danza Kuduro,1854512,11762629,1197814420,https://kworb.net/spotify/track/2a1o6ZejUi8U3wzzOtCOYw.html
2026-05-22,84,Drake,B's On The Table,1854379,16609174,23880734,https://kworb.net/spotify/track/4ygJHbpMGwZknVFaRikdFr.html
2026-05-22,85,Drake,Make Them Cry,1851580,20135135,33354156,https://kworb.net/spotify/track/55wlsNYqcfiQsHuX8l0jmF.html
2026-05-22,86,Bad Bunny,EoO,1848512,11631750,1103115277,https://kworb.net/spotify/track/6J5kc12BW5HuP3d7C3vvx8.html
2026-05-22,87,Coldplay,Yellow,1831630,12344557,3023783821,https://kworb.net/spotify/track/3AJwUDP919kvQ9QcozQPxg.html
2026-05-22,88,Arctic Monkeys,505,1824403,12355062,2348152692,https://kworb.net/spotify/track/58ge6dfP91o9oXMzq3XkIS.html
2026-05-22,89,Zara Larsson,Midnight Sun,1824292,11456435,183533734,https://kworb.net/spotify/track/1qRV1dKLOfH1s00b9J2LUQ.html
2026-05-22,90,Linkin Park,In the End,1819446,11790151,1535925622,https://kworb.net/spotify/track/60a0Rd6pjrkxjPbaKzXjfq.html
